Company ID,Client Status,Vertical Description,Group Description,Deal Type,Business Group,Enhanced Life Stage,Enhanced Lifestage Reason,State  ,Equity Raised To Date 
1010,Client,Cybersecurity,software,Later Stage VC,Tech,Mid/Late/Corp,Same,CA,"$36,322K"
1037,Former Client,FinTech,media,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,FL,"$30,500K"
1037,Former Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$72,651K"
1049,Former Client,Manufacturing,commercial products,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$80,653K"
1053,Former Client,Mobile,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,VA,"$99,956K"
1056,Client,Big Data,software,Early Stage VC,Tech,Mid/Late/Corp,Moody - $5-75MM,PA,"$5,000K"
1059,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,WA,"$21,409K"
1067,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$159,267K"
1078,Non-Client,E-Commerce,computer hardware,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,IL,"$23,025K"
1087,Client,Mobile,healthcare technology systems,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$114,642K"
1088,Non-Client,Mobile,media,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,FL,"$108,508K"
1093,Non-Client,Virtual Reality,commercial products,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,RI,"$4,919K"
1093,Non-Client,Infrastructure,communications and networking,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$62,905K"
1107,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,Moody - >$75MM,CA,"$288,537K"
1113,Non-Client,Big Data,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$29,320K"
1135,Former Client,Big Data,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,FL,"$62,701K"
1135,Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CT,"$179,699K"
1137,Former Client,AdTech,commercial services,Later Stage VC,Tech,Large Corporate,Same,CA,"$80,243K"
1137,Non-Client,CleanTech,energy equipment,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$297,184K"
1138,Former Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,Same,WA,"$129,398K"
1154,Non-Client,Manufacturing,commercial products,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MN,"$104,000K"
1156,Client,TMT,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$74,326K"
1157,Client,Mobile,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$335,760K"
1181,Former Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$12,150K"
1219,Former Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$63,305K"
1252,Former Client,Beauty,consumer non-durables,Later Stage VC,Tech,Large Corporate,Same,CA,"$33,620K"
1266,Non-Client,HealthTech,healthcare devices and supplies,IPO,LifeSci,Large Corporate,EXIT - IPO Event,MA,"$312,102K"
1266,Former Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$98,836K"
1276,Former Client,Cybersecurity,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$50,390K"
1286,Former Client,Internet of Things,communications and networking,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,CO,"$11,403K"
1400,Former Client,Space Technology,commercial products,Later Stage VC,Tech,Large Corporate,Same,CA,"$3,622,030K"
1430,Former Client,FinTech,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,NC,"$866,416K"
1458,Client,AdTech,commercial services,Later Stage VC,Tech,Large Corporate,Same,NY,"$150,490K"
1484,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,MA,"$41,902K"
1488,Former Client,FinTech,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,IL,"$20,000K"
1496,Former Client,,software,Early Stage VC,Tech,Large Corporate,Same,,"$4,800K"
1510,Non-Client,Manufacturing,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$6,784K"
1513,Client,SaaS,communications and networking,Later Stage VC,Tech,Large Corporate,Same,CA,"$187,842K"
1515,Former Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$151,627K"
1544,Client,Digital Health,healthcare services,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$777,657K"
1554,Non-Client,Manufacturing,computer hardware,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$59,871K"
1558,Non-Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$273,100K"
1570,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$226,390K"
1579,Client,Cybersecurity,software,Later Stage VC,Tech,Large Corporate,Same,UT,"$190,000K"
1581,Former Client,Marketing Tech,commercial services,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$112,058K"
1589,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$83,552K"
1593,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$2,111,293K"
1605,Former Client,Manufacturing,chemicals and gases,Later Stage VC,Non,Large Corporate,PB - Later Stage >=$50MM,CA,"$283,521K"
